abstract_id,gold_count,predicted_count,exact_matches,entity_matches,exact_precision,exact_recall,exact_f1,entity_precision,entity_recall,entity_f1
abs_001,9,10,8,9,0.8,0.8889,0.8421,0.9,1.0,0.9474
abs_002,6,6,6,6,1.0,1.0,1.0,1.0,1.0,1.0
abs_003,6,11,6,6,0.5455,1.0,0.7059,0.5455,1.0,0.7059
abs_004,9,9,9,9,1.0,1.0,1.0,1.0,1.0,1.0
abs_005,3,7,3,3,0.4286,1.0,0.6,0.4286,1.0,0.6
abs_006,9,9,9,9,1.0,1.0,1.0,1.0,1.0,1.0
abs_007,9,9,9,9,1.0,1.0,1.0,1.0,1.0,1.0
abs_008,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0
abs_009,13,13,13,13,1.0,1.0,1.0,1.0,1.0,1.0
abs_010,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0
abs_011,9,10,9,9,0.9,1.0,0.9474,0.9,1.0,0.9474
abs_012,9,9,9,9,1.0,1.0,1.0,1.0,1.0,1.0
abs_013,9,9,9,9,1.0,1.0,1.0,1.0,1.0,1.0
abs_014,6,6,6,6,1.0,1.0,1.0,1.0,1.0,1.0
abs_015,9,9,9,9,1.0,1.0,1.0,1.0,1.0,1.0
abs_016,12,12,12,12,1.0,1.0,1.0,1.0,1.0,1.0
abs_017,13,13,13,13,1.0,1.0,1.0,1.0,1.0,1.0
abs_018,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0
abs_019,9,9,9,9,1.0,1.0,1.0,1.0,1.0,1.0
